specimen,preservation,genus,species,field_name,lifestyle,site,terrane,country,province,locality,siteN,latitude,longitude,elevation,species_reference,habitat_reference,SIA,BDNF,NXC1,CYTB,ND4,type_locality,id,label
JR413,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR384,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR394,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR401,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR402,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR403,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR404,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR406,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR408,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR409,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR411,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR412,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR414,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR415,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR416,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR423,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR424,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR425,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
